relation_id,fair_id,company_id,issue_type,recommended_action,details
,18,2667,merge_conflict,MANUAL_REVIEW,duplicate group 'mine plastik end urn sert mad kimya' shares fair 18
,18,2679,merge_conflict,MANUAL_REVIEW,duplicate group 'nigtas' shares fair 18
,18,2797,merge_conflict,MANUAL_REVIEW,duplicate group 'nigtas' shares fair 18
,100,25741,merge_conflict,MANUAL_REVIEW,duplicate group 'nordmann rassmann turkey dis' shares fair 100
,100,31873,merge_conflict,MANUAL_REVIEW,duplicate group 'nordmann rassmann turkey dis' shares fair 100
,18,2768,merge_conflict,MANUAL_REVIEW,duplicate group 'vizyon vida kovan makina imalat' shares fair 18
,18,2916,merge_conflict,MANUAL_REVIEW,duplicate group 'vizyon vida kovan makina imalat' shares fair 18
,18,2770,merge_conflict,MANUAL_REVIEW,duplicate group 'kal der makina met pls imlt' shares fair 18
,18,31188,merge_conflict,MANUAL_REVIEW,duplicate group 'kal der makina met pls imlt' shares fair 18
,18,2787,merge_conflict,MANUAL_REVIEW,duplicate group 'dinamik motor reduktor' shares fair 18
,18,23457,merge_conflict,MANUAL_REVIEW,duplicate group 'dinamik motor reduktor' shares fair 18
,18,2806,merge_conflict,MANUAL_REVIEW,duplicate group 'nirumand polymer pars engineering' shares fair 18
,18,31210,merge_conflict,MANUAL_REVIEW,duplicate group 'nirumand polymer pars engineering' shares fair 18
,18,2821,merge_conflict,MANUAL_REVIEW,duplicate group 'ningbo fulcrum technology co' shares fair 18
,18,31124,merge_conflict,MANUAL_REVIEW,duplicate group 'ningbo fulcrum technology co' shares fair 18
,18,2827,merge_conflict,MANUAL_REVIEW,duplicate group 'senmak mak' shares fair 18
,18,2828,merge_conflict,MANUAL_REVIEW,duplicate group 'senmak mak' shares fair 18
,67,14444,merge_conflict,MANUAL_REVIEW,duplicate group 'infomak mekatronik' shares fair 67
,67,29636,merge_conflict,MANUAL_REVIEW,duplicate group 'infomak mekatronik' shares fair 67
,17,3428,merge_conflict,MANUAL_REVIEW,duplicate group 'yagmurpen pvc yapi elemanlari' shares fair 17
,17,32557,merge_conflict,MANUAL_REVIEW,duplicate group 'yagmurpen pvc yapi elemanlari' shares fair 17
,27,3773,merge_conflict,MANUAL_REVIEW,duplicate group 'izmiryildiz orman urun ins taah mak' shares fair 27
,27,31563,merge_conflict,MANUAL_REVIEW,duplicate group 'izmiryildiz orman urun ins taah mak' shares fair 27
,28,3869,merge_conflict,MANUAL_REVIEW,duplicate group 'divanev' shares fair 28
,28,24263,merge_conflict,MANUAL_REVIEW,duplicate group 'divanev' shares fair 28
,28,3872,merge_conflict,MANUAL_REVIEW,duplicate group 'dizayno mobilya' shares fair 28
,28,24251,merge_conflict,MANUAL_REVIEW,duplicate group 'dizayno mobilya' shares fair 28
,28,3875,merge_conflict,MANUAL_REVIEW,duplicate group 'infinity mobilya dis' shares fair 28
