company_id,company_name,issue_type,recommended_action,details
27071,"RUIAN COP.IMP &amp; EXP. TRADE CO., LTD",html_entity,NORMALIZE,html entity
27073,"LIAOCHENG TONGWANG IMP &amp; EXP CO., LTD.",html_entity,NORMALIZE,html entity
27174,GHANDHARA TYRE &amp; RUBBER COMPANY LIMITED,html_entity,NORMALIZE,html entity
27202,MEYER GLITZA FRESE GMBH &amp; CO. KG,html_entity,NORMALIZE,html entity
27264,MULTIPARTS EUROPE LTD. &amp; Zhejiang ODM Transmission,html_entity,NORMALIZE,html entity
27317,"TAIZHOU MAIDIWEN M&amp;E CO.,LTD",html_entity,NORMALIZE,html entity
27318,"RUIAN RUISHEN IMPORT&amp;EXPORT TRADING CO., LTD.",html_entity,NORMALIZE,html entity
27319,"WENZHOU RIYI ELECTROMECHANICAL TECHNOLOGY CO ., LTD",encoding_issue,MANUAL_REVIEW,encoding issue
27346,EMIRATES KEYS &amp; DIAGNOSTIC TOOLS,html_entity,NORMALIZE,html entity
27354,"CHANGZHOU CHANGZHENG IMPORT &amp; EXPORT CO., LTD",html_entity,NORMALIZE,html entity
27380,"XINZHIHE INDUSTRY&amp;TRADE CO.,LTD",html_entity,NORMALIZE,html entity
27389,"TONGCHI AUTO AIR CONDITIONER MANUFACTURING CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
27390,"HEFEI HAOCHI IMPORT &amp; EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
27477,AMETEK AEROSPACE &amp;DEFENSE,html_entity,NORMALIZE,html entity
27572,B&amp;W TEK INC.,html_entity,NORMALIZE,html entity
27661,"CHANAKYA AEROSPACE, DEFENCE &amp; MARITIME REVIEW",html_entity,NORMALIZE,html entity
27753,E&amp;C ANECHOİC CHAMBERS N.V,html_entity,NORMALIZE,html entity
27834,FRANZ BİNDER GMBH &amp; CO.,html_entity,NORMALIZE,html entity
27942,IDEX &amp; NAVDEX 2025,html_entity,NORMALIZE,html entity
27948,INDO AEROSPACE 2024 EXPO &amp; FORUM,html_entity,NORMALIZE,html entity
27949,INDO DEFENCE 2024 EXPO &amp; FORUM,html_entity,NORMALIZE,html entity
27950,INDO MARINE 2024 EXPO &amp; FORUM,html_entity,NORMALIZE,html entity
27956,INSTİTUT DR. FOERSTER GMBH &amp; CO. KG,html_entity,NORMALIZE,html entity
27964,IRIDIUM SERVICES &amp; LOGISTIC CONSULTANCY,html_entity,NORMALIZE,html entity
28001,"KARBON COMPOSİTES &amp; TECHNOLOGY CO., LTD",html_entity,NORMALIZE,html entity
28064,LMB FAN &amp; MOTORS,html_entity,NORMALIZE,html entity
28257,PİC WİRE &amp; CABLE,html_entity,NORMALIZE,html entity
28297,RAFI GMBH &amp; CO. KG,html_entity,NORMALIZE,html entity
28311,RESEARCH &amp; DEVELOPMENT CENTER KAZAKHSTAN ENGINEERING LLC,html_entity,NORMALIZE,html entity
28434,SPACE MACHINE &amp; ENGINEERING,html_entity,NORMALIZE,html entity
28567,UK DEFENCE &amp; SECURİTY EXPORTS,html_entity,NORMALIZE,html entity
28631,"WUHAN HUACHENG TEXTILE&amp;GARMENTS CO., LTD.",html_entity,NORMALIZE,html entity
28967,AKTAN MISR TEXTILE &amp; DYEING S.A.E,html_entity,NORMALIZE,html entity
29024,HNF KİMYA SANAYİ VE TİCARET LTD. &amp; ZSCHİMMER-SCHWARZ LEFATEX,html_entity,NORMALIZE,html entity
29559,"ANPING SHENGJIA HARDWARE &#038; MESH CO., LTD.",html_entity,NORMALIZE,html entity
29560,SHANDONG WEIMA EQUIPMENT SCIENCE &#038; TECHNOLOGY CORPORATION LIMITED,html_entity,NORMALIZE,html entity
29883,TUBEBOX  AMBALAJ SAN.TİC.LTD.ŞTİ.,encoding_issue,MANUAL_REVIEW,encoding issue
30209,"CHONGQİNG QİHAO IMPORT &AMP; EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
30260,ALBAJES COMPANY FOR NATURAL HERBS &AMP; HONEY PRODUCTION,html_entity,NORMALIZE,html entity
30630,"JİANGSU GIANT ALLY IMP. & EXP. CO., LTD",encoding_issue,MANUAL_REVIEW,encoding issue
30810,KOREA AGRO-FiSHERiES &AMP; FOOD TRADE CORPORATiON (AT),html_entity,NORMALIZE,html entity
31063,"TAİZHOU HOPO MOULD &AMP; PLASTİC TECHNOLOGY CO.,LTD",html_entity,NORMALIZE,html entity
31097,"YUYAO LVDAO PLASTİC&AMP;RUBBER MACHİNERY CO.,LTD.",html_entity,NORMALIZE,html entity
31112,"TAİZHOU HUANGYAN ZHİLİAN MOULD &AMP; PLASTİC CO., LTD.",html_entity,NORMALIZE,html entity
31123,CERTİLOOP YEŞiL DÖNÜŞÜM SERTiFiKASYON HiZMETLERi A.Ş.,encoding_issue,MANUAL_REVIEW,encoding issue
31156,"SHAOXİNG TONY IMPORT &AMP; EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
31179,"TAİZHOU HUANGYAN YUNTİAN MOULD&AMP;PLASTİC CO.,LTD",html_entity,NORMALIZE,html entity
31202,BEGRA GRANULATE GMBH &AMP; CO. KG,html_entity,NORMALIZE,html entity
31216,"ZHEJİANG RONGXİN MOULD &AMP; PLASTİC CO.,LTD",html_entity,NORMALIZE,html entity
31226,"ZHOUSHAN HOOSO IMP&AMP;EXP CO.,LTD.",html_entity,NORMALIZE,html entity
31227,"LAİWU HUAYA POLYMER SCİ.&AMP;TECH. CO., LTD.",html_entity,NORMALIZE,html entity
31236,"RUİAN POLYPRİNT IMPORT&AMP;EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
31256,"TAİZHOU HUANGYAN AİSAİLİ PLASTİC&AMP;MOULD CO.,LTD",html_entity,NORMALIZE,html entity
31285,TAİZHOU HUANGYAN BİLE MOLD &AMP; PLASTİC CO.,html_entity,NORMALIZE,html entity
31445,"YANGZHOU M&AMP;G TEXTİLES CO., LTD.",html_entity,NORMALIZE,html entity
31485,SAURER TECHNOLOGİES GMBH &AMP; CO. KG TWİSTİNG SOLUTİONS,html_entity,NORMALIZE,html entity
31550,PAHSA TRAILER &amp; CARAVAN,html_entity,NORMALIZE,html entity
31695,"NINGBO DAFA CHEMICAL FIBER CO.,LTD",encoding_issue,MANUAL_REVIEW,encoding issue
31705,"ZHEJIANG XIANGXI IMPORT&amp;EXPORT CO.,LTD",html_entity,NORMALIZE,html entity
31754,"QINGDAO DEYUANCHANG TEXTILE TECHNOLOGY CO., LTD&amp;#8194;",html_entity,NORMALIZE,html entity
31883,"QINGDAO KSL MACHINERY SCIENCE &amp; TECHNOLOGY CO., LTD",html_entity,NORMALIZE,html entity
31941,"JIANGSU SUYU IMPORT&amp;EXPORT TRADING CO.,LTD ",html_entity,NORMALIZE,html entity
31956,METAL MAKİNE-HİDROLİK&amp;PNÖMATİK,html_entity,NORMALIZE,html entity
31965,PLANT &amp; EQUIPMENTS,html_entity,NORMALIZE,html entity
31971,"SHENYANG HUAYUE BRILLIANT MACHINERY &amp; EQUIPMENT CO., LTD",html_entity,NORMALIZE,html entity
32041,"ELITE MEDICAL (NANJING) CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
32056,"ZHEJIANG J&amp;J MOBILITY CO., LTD.",html_entity,NORMALIZE,html entity
32157,"JINAN GOLD MARK CNC MACHINERY CO.,LTD",encoding_issue,MANUAL_REVIEW,encoding issue
32165,"HANN KUEN MACHINERY &amp;#65286; HARDWARE CO., LTD.",html_entity,NORMALIZE,html entity
32276,SARIÇAM ELEKTRİK &AMP; PANO,html_entity,NORMALIZE,html entity
32462,KHUSH KHULQ DUSTOOR CARPETS &AMP; MANUFACTURERS,html_entity,NORMALIZE,html entity
32755,"ANJ INTERNATİONAL EQUİPMENTS &AMP; ACCESSORİES CO., LTD.",html_entity,NORMALIZE,html entity
32801,"TAİZHOU HUANGYAN XUSHİ IMPORT&AMP;EXPORT CO ., LTD.",html_entity,NORMALIZE,html entity
32827,RİVER &amp; SEA CARAVAN MEHMET SAİT ARSLAN,html_entity,NORMALIZE,html entity
32889,"HANGZHOU HENGHANG IMPORT &amp; EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
33212,"CHANGZHOU HOPEFINDER POLYMER SCI.&amp;TECH.CO., LTD.",html_entity,NORMALIZE,html entity
33214,LUC &amp; BEL,html_entity,NORMALIZE,html entity
33275,"ZHEJIANG HENGDIAN INNUOVO IMP.&amp; EXP.CO., LTD.",html_entity,NORMALIZE,html entity
33582,Giztek Endüstri ve Tesisat Sistemleri Sanayi Ticaret Murat Küçükkökdiken,encoding_issue,MANUAL_REVIEW,encoding issue
33716,Türkçüler Yapı Malzemeleri ve İnşaat Limited Şirketi,encoding_issue,MANUAL_REVIEW,encoding issue
33747,İzo-Par İzolasyon Parke - Tülin Güç,encoding_issue,MANUAL_REVIEW,encoding issue
33779,Ölçü İnşaat Taahhüt Kırtasiye Ticaret Limited Şirketi,encoding_issue,MANUAL_REVIEW,encoding issue
33841,Öçal Uysal Uysal Yapı,encoding_issue,MANUAL_REVIEW,encoding issue
34440,Esa Ölçüm ve Test Cihazları Elektronik Sanayi ve Tic. Ltd. Şti.,encoding_issue,MANUAL_REVIEW,encoding issue
34479,Üç Yıldız Teknik Hırdavat San. Tic. Ltd. Şti.,encoding_issue,MANUAL_REVIEW,encoding issue
34505,BAUSCH&AMP;LOMB,html_entity,NORMALIZE,html entity
