fair_id,fair_name,start_fair,end_fair,fair_area,fair_website,email_subject,issue_type,recommended_action,details
87,Peyzaj İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/portfolio-item/katilimci-listesi/,Peyzaj İstanbul Fuarı,email_subject_present,KEEP,email subject present
88,İstanbul Hırdavat Fuarı,2025-11-19 00:00:00,2025-11-22 00:00:00,IFM (CNR),https://www.hardwareeurasia.com/katilimci-listesi?page=17,İstanbul Hırdavat Fuarı,email_subject_present,KEEP,email subject present
89,Solar Storage,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://solarstoragenx.com,Solar Storage Fuarı,future_start_fair,NULLIFY,future start fair
89,Solar Storage,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://solarstoragenx.com,Solar Storage Fuarı,future_end_fair,NULLIFY,future end fair
89,Solar Storage,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://solarstoragenx.com,Solar Storage Fuarı,email_subject_present,KEEP,email subject present
90,MÜSİAD Expo Ticaret Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://musiadexpo.com/fuar-kunyesi,MÜSİAD Expo Ticaret Fuarı,future_start_fair,NULLIFY,future start fair
90,MÜSİAD Expo Ticaret Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://musiadexpo.com/fuar-kunyesi,MÜSİAD Expo Ticaret Fuarı,future_end_fair,NULLIFY,future end fair
90,MÜSİAD Expo Ticaret Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://musiadexpo.com/fuar-kunyesi,MÜSİAD Expo Ticaret Fuarı,email_subject_present,KEEP,email subject present
91,Atrax,2026-01-06 00:00:00,2026-01-09 00:00:00,IFM (CNR),https://atraxexpo.com/katilimci-listesi/,"Atrax - Eğlence, Park, Spor Rekreason Alanlari Endüstrisi Fuarı",email_subject_present,KEEP,email subject present
92,Yacht Life | Boat Show 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://yachtlifeboatshow.com/fuar-kunyesi-tekne-fuari/,Yacht Life | Boat Show 2025 Fuarı,future_start_fair,NULLIFY,future start fair
92,Yacht Life | Boat Show 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://yachtlifeboatshow.com/fuar-kunyesi-tekne-fuari/,Yacht Life | Boat Show 2025 Fuarı,future_end_fair,NULLIFY,future end fair
92,Yacht Life | Boat Show 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://yachtlifeboatshow.com/fuar-kunyesi-tekne-fuari/,Yacht Life | Boat Show 2025 Fuarı,email_subject_present,KEEP,email subject present
93,Expomaritt Exposhipping İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.expomaritt.com/tr/anasayfa.html,Expomaritt Exposhipping İstanbul - 18. Uluslararası Denizcilik Fuarı,future_start_fair,NULLIFY,future start fair
93,Expomaritt Exposhipping İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.expomaritt.com/tr/anasayfa.html,Expomaritt Exposhipping İstanbul - 18. Uluslararası Denizcilik Fuarı,future_end_fair,NULLIFY,future end fair
93,Expomaritt Exposhipping İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.expomaritt.com/tr/anasayfa.html,Expomaritt Exposhipping İstanbul - 18. Uluslararası Denizcilik Fuarı,email_subject_present,KEEP,email subject present
94,Emitt,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://emittistanbul.com/tr/katilimci-listesi,Emitt - Doğu Akdeniz Uluslararası Turizm ve Seyahat Fuarı,future_start_fair,NULLIFY,future start fair
94,Emitt,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://emittistanbul.com/tr/katilimci-listesi,Emitt - Doğu Akdeniz Uluslararası Turizm ve Seyahat Fuarı,future_end_fair,NULLIFY,future end fair
94,Emitt,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://emittistanbul.com/tr/katilimci-listesi,Emitt - Doğu Akdeniz Uluslararası Turizm ve Seyahat Fuarı,email_subject_present,KEEP,email subject present
95,Electricity Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://electricityeurasia.com/fuar-hakkinda-2/,Electricity Eurasia - Elektrik ve Elektrik Ekipmanları Fuarı,future_start_fair,NULLIFY,future start fair
95,Electricity Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://electricityeurasia.com/fuar-hakkinda-2/,Electricity Eurasia - Elektrik ve Elektrik Ekipmanları Fuarı,future_end_fair,NULLIFY,future end fair
95,Electricity Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://electricityeurasia.com/fuar-hakkinda-2/,Electricity Eurasia - Elektrik ve Elektrik Ekipmanları Fuarı,email_subject_present,KEEP,email subject present
96,Mobilefest,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.mobilefest.net,Mobilefest Teknoloji Fuarı ve Konferansı,future_start_fair,NULLIFY,future start fair
96,Mobilefest,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.mobilefest.net,Mobilefest Teknoloji Fuarı ve Konferansı,future_end_fair,NULLIFY,future end fair
